label_variant,panel_id,system_id,stratum,episode_count,episode_balanced_cells,episode_balanced_cells_a_correct_b_wrong,episode_balanced_cells_a_wrong_b_correct,episode_balanced_cells_both_correct,episode_balanced_cells_both_wrong,episodes_with_pairs,joint_error_probability_episode_balanced,minimum_complete_cases,pair_observations,pair_weighting_is_primary,phi_cluster_bootstrap_95_high,phi_cluster_bootstrap_95_low,phi_cluster_bootstrap_summary_conditioning,phi_cluster_bootstrap_summary_defined_fraction,phi_cluster_bootstrap_summary_defined_replicates,phi_cluster_bootstrap_summary_interval_status,phi_cluster_bootstrap_summary_nominal_coverage_established,phi_cluster_bootstrap_summary_percentile_range_defined_95_high,phi_cluster_bootstrap_summary_percentile_range_defined_95_low,phi_cluster_bootstrap_summary_quantiles_high,phi_cluster_bootstrap_summary_quantiles_low,phi_cluster_bootstrap_summary_requested_replicates,phi_cluster_bootstrap_summary_undefined_replicates,phi_episode_balanced,phi_pair_weighted_sensitivity,pooled_pair_cells_a_correct_b_wrong,pooled_pair_cells_a_wrong_b_correct,pooled_pair_cells_both_correct,pooled_pair_cells_both_wrong,precision_flag,provenance_relation,registered_episodes,source_type_a,source_type_b,unit_of_inference
deterministic,mathrouter-hard,mathrouter,hard_gt_5,25,,,,,,0,,20,0,False,,,defined_phi_replicates_only,0.0,0,unavailable_no_defined_replicates,False,,,0.975,0.025,10000,10000,,,0,0,0,0,imprecise,same,25,llm,python,episode
deterministic,mathrouter-hard,mathrouter,hard_gt_5,25,,,,,,0,,20,0,False,,,defined_phi_replicates_only,0.0,0,unavailable_no_defined_replicates,False,,,0.975,0.025,10000,10000,,,0,0,0,0,imprecise,different,25,llm,python,episode
deterministic,icma-standard,icma,standard,25,,0.0,0.0,1.0,0.0,17,0.0,20,17,False,,,defined_phi_replicates_only,0.0,0,unavailable_no_defined_replicates,False,,,0.975,0.025,10000,10000,,,0,0,17,0,imprecise,all,25,llm,llm,episode
deterministic,icma-standard,icma,standard,25,,0.0,0.0,1.0,0.0,17,0.0,20,17,False,,,defined_phi_replicates_only,0.0,0,unavailable_no_defined_replicates,False,,,0.975,0.025,10000,10000,,,0,0,17,0,imprecise,same,25,llm,llm,episode
deterministic,icma-standard,icma,standard,25,,,,,,0,,20,0,False,,,defined_phi_replicates_only,0.0,0,unavailable_no_defined_replicates,False,,,0.975,0.025,10000,10000,,,0,0,0,0,imprecise,different,25,llm,llm,episode
deterministic,icma-standard,icma,standard,25,,0.07142857142857142,0.0,0.8571428571428571,0.07142857142857142,14,0.07142857142857142,20,27,False,1.0,0.43852900965351466,defined_phi_replicates_only,0.6486,6486,conditional_on_defined_replicates,False,1.0,0.43852900965351466,0.975,0.025,10000,3514,0.6793662204867574,0.554700196225229,2,0,24,1,imprecise,all,25,llm,python,episode
deterministic,icma-standard,icma,standard,25,,0.07142857142857142,0.0,0.8571428571428571,0.07142857142857142,14,0.07142857142857142,20,27,False,1.0,0.43852900965351466,defined_phi_replicates_only,0.6486,6486,conditional_on_defined_replicates,False,1.0,0.43852900965351466,0.975,0.025,10000,3514,0.6793662204867574,0.554700196225229,2,0,24,1,imprecise,same,25,llm,python,episode
deterministic,icma-standard,icma,standard,25,,,,,,0,,20,0,False,,,defined_phi_replicates_only,0.0,0,unavailable_no_defined_replicates,False,,,0.975,0.025,10000,10000,,,0,0,0,0,imprecise,different,25,llm,python,episode
deterministic,icma-hard,icma,hard_gt_5,25,,0.0,0.0,0.75,0.25,4,0.25,20,4,False,1.0,1.0,defined_phi_replicates_only,0.6805,6805,conditional_on_defined_replicates,False,1.0,1.0,0.975,0.025,10000,3195,1.0,1.0,0,0,3,1,imprecise,all,25,llm,llm,episode
deterministic,icma-hard,icma,hard_gt_5,25,,0.0,0.0,0.75,0.25,4,0.25,20,4,False,1.0,1.0,defined_phi_replicates_only,0.6805,6805,conditional_on_defined_replicates,False,1.0,1.0,0.975,0.025,10000,3195,1.0,1.0,0,0,3,1,imprecise,same,25,llm,llm,episode
deterministic,icma-hard,icma,hard_gt_5,25,,,,,,0,,20,0,False,,,defined_phi_replicates_only,0.0,0,unavailable_no_defined_replicates,False,,,0.975,0.025,10000,10000,,,0,0,0,0,imprecise,different,25,llm,llm,episode
deterministic,icma-hard,icma,hard_gt_5,25,,0.0,0.0,0.6666666666666666,0.3333333333333333,6,0.3333333333333333,20,10,False,1.0,1.0,defined_phi_replicates_only,0.907,9070,conditional_on_defined_replicates,False,1.0,1.0,0.975,0.025,10000,930,1.0,1.0,0,0,7,3,imprecise,all,25,llm,python,episode
deterministic,icma-hard,icma,hard_gt_5,25,,0.0,0.0,0.6666666666666666,0.3333333333333333,6,0.3333333333333333,20,10,False,1.0,1.0,defined_phi_replicates_only,0.907,9070,conditional_on_defined_replicates,False,1.0,1.0,0.975,0.025,10000,930,1.0,1.0,0,0,7,3,imprecise,same,25,llm,python,episode
deterministic,icma-hard,icma,hard_gt_5,25,,,,,,0,,20,0,False,,,defined_phi_replicates_only,0.0,0,unavailable_no_defined_replicates,False,,,0.975,0.025,10000,10000,,,0,0,0,0,imprecise,different,25,llm,python,episode
deterministic,mathgoal-standard,mathgoal,standard,25,,0.0030303030303030303,0.012121212121212121,0.9848484848484848,0.0,22,0.0,20,182,False,-0.006106934284361995,-0.025004395690303865,defined_phi_replicates_only,0.6439,6439,conditional_on_defined_replicates,False,-0.006106934284361995,-0.025004395690303865,0.975,0.025,10000,3561,-0.006106934284361996,-0.011142450337147508,1,4,177,0,adequate,all,25,llm,llm,episode
deterministic,mathgoal-standard,mathgoal,standard,25,,1.0,0.0,0.0,0.0,1,0.0,20,1,False,,,defined_phi_replicates_only,0.0,0,unavailable_no_defined_replicates,False,,,0.975,0.025,10000,10000,,,1,0,0,0,imprecise,same,25,llm,llm,episode
deterministic,mathgoal-standard,mathgoal,standard,25,,0.0,0.012987012987012986,0.987012987012987,0.0,22,0.0,20,181,False,,,defined_phi_replicates_only,0.0,0,unavailable_no_defined_replicates,False,,,0.975,0.025,10000,10000,,,0,4,177,0,adequate,different,25,llm,llm,episode
deterministic,mathgoal-standard,mathgoal,standard,25,,0.125,0.0,0.8645833333333334,0.010416666666666666,16,0.010416666666666666,20,249,False,0.39735970711951313,0.18816667761480327,defined_phi_replicates_only,0.6465,6465,conditional_on_defined_replicates,False,0.39735970711951313,0.18816667761480327,0.975,0.025,10000,3535,0.25924212183361234,0.3166559690105764,24,0,222,3,imprecise,all,25,llm,python,episode
deterministic,mathgoal-standard,mathgoal,standard,25,,0.11979166666666666,0.0,0.8645833333333334,0.015625,16,0.015625,20,55,False,0.4879500364742666,0.23106504147329038,defined_phi_replicates_only,0.6465,6465,conditional_on_defined_replicates,False,0.4879500364742666,0.23106504147329038,0.975,0.025,10000,3535,0.3183443125659721,0.3563483225498992,6,0,48,1,imprecise,same,25,llm,python,episode
deterministic,mathgoal-standard,mathgoal,standard,25,,0.12648809523809523,0.0,0.8645833333333334,0.008928571428571428,16,0.008928571428571428,20,194,False,0.36760731104690386,0.17407765595569785,defined_phi_replicates_only,0.6465,6465,conditional_on_defined_replicates,False,0.36760731104690386,0.17407765595569785,0.975,0.025,10000,3535,0.239831310547763,0.3010398644698074,18,0,174,2,imprecise,different,25,llm,python,episode
deterministic,mathgoal-hard,mathgoal,hard_gt_5,25,,0.047619047619047616,0.047619047619047616,0.8571428571428571,0.047619047619047616,7,0.047619047619047616,20,37,False,0.44736842105263164,0.30000000000000004,defined_phi_replicates_only,0.6553,6553,conditional_on_defined_replicates,False,0.44736842105263164,0.30000000000000004,0.975,0.025,10000,3447,0.44736842105263164,0.4714285714285714,1,1,34,1,imprecise,all,25,llm,llm,episode
deterministic,mathgoal-hard,mathgoal,hard_gt_5,25,,,,,,0,,20,0,False,,,defined_phi_replicates_only,0.0,0,unavailable_no_defined_replicates,False,,,0.975,0.025,10000,10000,,,0,0,0,0,imprecise,same,25,llm,llm,episode
deterministic,mathgoal-hard,mathgoal,hard_gt_5,25,,0.047619047619047616,0.047619047619047616,0.8571428571428571,0.047619047619047616,7,0.047619047619047616,20,37,False,0.44736842105263164,0.30000000000000004,defined_phi_replicates_only,0.6553,6553,conditional_on_defined_replicates,False,0.44736842105263164,0.30000000000000004,0.975,0.025,10000,3447,0.44736842105263164,0.4714285714285714,1,1,34,1,imprecise,different,25,llm,llm,episode
deterministic,mathgoal-hard,mathgoal,hard_gt_5,25,,0.0,0.0,1.0,0.0,2,0.0,20,6,False,,,defined_phi_replicates_only,0.0,0,unavailable_no_defined_replicates,False,,,0.975,0.025,10000,10000,,,0,0,6,0,imprecise,all,25,llm,python,episode
deterministic,mathgoal-hard,mathgoal,hard_gt_5,25,,0.0,0.0,1.0,0.0,2,0.0,20,2,False,,,defined_phi_replicates_only,0.0,0,unavailable_no_defined_replicates,False,,,0.975,0.025,10000,10000,,,0,0,2,0,imprecise,same,25,llm,python,episode
deterministic,mathgoal-hard,mathgoal,hard_gt_5,25,,0.0,0.0,1.0,0.0,2,0.0,20,4,False,,,defined_phi_replicates_only,0.0,0,unavailable_no_defined_replicates,False,,,0.975,0.025,10000,10000,,,0,0,4,0,imprecise,different,25,llm,python,episode
